,title,link,score
91,"Google Chrome users may have been impacted by a massive spying campaign, report says",http://rss.cnn.com/~r/rss/cnn_topstories/~3/tsUdR_Jw7Oo/index.html,0.1226082518696785
92,Hundreds attend anti-racism rally in Glasgow,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-53120070,0.06844407320022583
93,Coronavirus: Who should be shielding?,https://www.bbc.co.uk/news/health-51997151,0.03397403657436371
94,Coronavirus: What are the UK travel quarantine rules?,https://www.bbc.co.uk/news/explainers-52544307,-0.0029094188939779997
95,Coronavirus: What's happening to free school meals this summer?,https://www.bbc.co.uk/news/explainers-53053337,-0.04990995302796364
96,Coronavirus: What tests are being done in the UK?,https://www.bbc.co.uk/news/health-51943612,-0.2037276029586792
97,Coronavirus: What are the rules on weddings?,https://www.bbc.co.uk/news/explainers-52811509,-0.27954769134521484
98,Coronavirus bubbles: How do they work and who is in yours?,https://www.bbc.co.uk/news/health-52637354,-0.28534477949142456
99,Coronavirus: Result of 2m social distancing review 'to come next week',https://www.bbc.co.uk/news/uk-53117853,-0.33299151062965393
100,Coronavirus: Five unanswered questions on the travel quarantine rules,https://www.bbc.co.uk/news/52963306,-0.5361709594726562
101,Coronavirus: How does the Covid-19 alert level system work?,https://www.bbc.co.uk/news/explainers-52634739,-0.550087034702301
102,Coronavirus: What does it mean if I've been furloughed by work?,https://www.bbc.co.uk/news/explainers-52135342,-0.6882222890853882
103,Parent of toddler in 'manipulated' Trump video gets Facebook and Twitter to remove it,http://rss.cnn.com/~r/rss/cnn_topstories/~3/bBiT2gylqdM/index.html,-0.691191554069519
104,Canal tow-path exercise: ‘I can’t socially distance’,https://www.bbc.co.uk/news/uk-england-birmingham-52756428,-0.8177811503410339
105,"Coronavirus waivers, immunity bills are a mistake",http://rss.cnn.com/~r/rss/cnn_topstories/~3/YH8XeupJ4cU/index.html,-0.9429001212120056
106,Could creating billions of pounds save your job?,https://www.bbc.co.uk/news/business-15198789,-1.3109159469604492
107,Premier League: Mystery over 'professional' haircuts,https://www.bbc.co.uk/news/newsbeat-53096057,-1.327187180519104
108,Coronavirus: Why we don't know how many are being tested,https://www.bbc.co.uk/news/health-52891611,-1.4793243408203125
109,Coronavirus: What is a recession?,https://www.bbc.co.uk/news/business-52986863,-1.5528428554534912
110,Arrest warrant issued in Wendy's fire that followed Rayshard Brooks' killing,http://rss.cnn.com/~r/rss/cnn_topstories/~3/GeOcALH5OSk/index.html,-1.6610422134399414
111,Three children die and mother critical after Paisley fire,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-53119365,-1.879867434501648
112,Coronavirus: How does contact tracing work?,https://www.bbc.co.uk/news/explainers-52442754,-2.1683292388916016
113,How does breakthrough coronavirus drug work?,https://www.bbc.co.uk/news/health-53077879,-2.409259080886841
114,READ: John Bolton book injunction denial,http://rss.cnn.com/~r/rss/cnn_topstories/~3/eP4xWIKOa1I/index.html,-2.4589579105377197
115,Fact check: Trump falsely claims 'insurance reasons' prevented him from entering St. John's Church,http://rss.cnn.com/~r/rss/cnn_topstories/~3/WxEmNqjrocg/index.html,-2.8636374473571777
